id,selling_price
0,526098.3707555854
1,734577.9288439486
2,314347.35662338283
3,1059841.7203660565
4,762362.8952284959
5,339310.6459838675
6,309067.71548550704
7,186886.55656088388
8,937813.5010653832
9,811020.5146853294
10,432332.0586695296
11,712633.4590610107
12,799950.6951999086
13,354875.33506036084
14,3452071.291626775
15,440079.8880140042
16,734017.4659818246
17,463129.87039498996
18,2362226.1523257494
19,3492370.469509185
20,283085.1494687709
21,432708.1801584738
22,510347.948522605
23,391801.76142578246
24,678724.414749639
25,405164.6780491892
26,62116.94905493804
27,440079.8880140042
28,488548.2999112001
29,423444.88557887
30,405809.72154532035
31,297782.2504366123
32,4357426.760134784
33,455880.12142727355
34,408647.98643476854
35,550744.3382524201
36,2226681.5832977155
37,203416.31324716378
38,486926.9636159556
39,187334.3837691386
40,237242.6974825128
41,548759.8542215715
42,795943.6290027316
43,596931.6143125355
44,575711.7145668407
45,230218.13363163837
46,545816.2141993933
47,494095.62648985116
48,486900.32222071534
49,728619.3219686693
50,456976.1720313104
51,398858.04131405137
52,671532.0436199971
53,526549.180821048
54,277775.78144157736
55,787400.052727189
56,526999.7736082163
57,435709.81033181684
58,299667.3052732872
59,701748.1765128779
60,352759.3838870922
61,503990.321957762
62,796127.1027297087
63,488259.17549153743
64,462363.80278122873
65,719972.1832074665
66,600628.3500242475
67,669178.5210927485
68,748148.8059245801
69,485197.09731574263
70,35341.177852513385
71,541890.8694021226
72,1285938.7308120714
73,457801.2840304721
74,651935.7000967872
75,-3524.837676607538
76,565386.0261633508
77,450997.5708147503
78,496394.9886579166
79,669257.1704376277
80,191767.10901290213
81,381005.14943679585
82,622192.5330336525
83,854797.7492520422
84,126327.08485643083
85,492703.8597338062
86,540072.7538204931
87,533787.358552756
88,440079.8880140042
89,145137.56777603982
90,660816.8680299675
91,365629.99840398727
92,550459.7483772103
93,330922.5280319496
94,1154288.999294238
95,216834.77365890803
96,177753.0789234275
97,361888.02921015804
98,469537.0902031273
99,578904.4444654745
100,250639.85198789823
101,-4888208.356570926
102,606056.2821802062
103,243899.94583625038
104,716607.042330196
105,72628.13725453347
106,529924.5698591
107,283331.47248614137
108,556346.217416042
109,206130.4707502724
110,187312.36692190135
111,577242.5751357076
112,460818.7677994716
113,-182700.63543857553
114,5150000.000000012
115,460613.2772252574
116,568781.8494336675
117,762362.8952284959
118,649212.8029296416
119,852000.4574878429
120,296774.26251482597
121,279302.2828500257
122,400328.8381444006
123,963814.3517948631
124,872530.7293220864
125,420369.90993523854
126,458894.6210784271
127,361832.8101017582
128,458434.2032000895
129,637631.4976442759
130,419128.49975976715
131,629843.7595071504
132,657820.7180808943
133,392059.88242106047
134,52579.62542479404
135,732502.8851749777
136,162306.77143205493
137,464886.8148170265
138,319325.78242903296
139,259421.66875552293
140,539739.2462558886
141,624717.6636449347
142,417539.31022656494
143,222856.1187518416
144,657984.6954585665
145,275064.3710030897
146,459714.4421636814
147,753444.0996370227
148,773355.4143431294
149,1319527.538065396
150,445700.41207420686
151,543938.9097569827
152,566116.4090830198
153,1265819.1227846267
154,690055.0974323067
155,229961.33117467572
156,638560.0212934231
157,613342.355354104
158,546217.6844950721
159,538551.9738554127
160,567619.1613075342
161,327896.34017993655
162,168732.47095774487
163,643581.3512077769
164,5150000.000000012
165,412171.99497550697
